method_a,method_b,n_common,same_count,same_selection_rate
ReplenishVerifier-Repair,Solver + Consensus,50,48,0.96
ReplenishVerifier-Repair,Solver + Structure,50,50,1.0
ReplenishVerifier-Repair,Solver + Structure + Consensus,50,48,0.96
ReplenishVerifier-Repair,Solver only,50,50,1.0
ReplenishVerifier-Repair,Solver-Filter,50,50,1.0
ReplenishVerifier-Repair,Structure + Consensus,50,48,0.96
ReplenishVerifier-Repair,Structure only,50,50,1.0
ReplenishVerifier-Repair,Structure-Grounded Consistency,50,48,0.96
ReplenishVerifier-Repair,Structure-Only,50,50,1.0
SIRL-like LP-Stats,Solver + Consensus,50,47,0.94
SIRL-like LP-Stats,Solver + Structure,50,49,0.98
SIRL-like LP-Stats,Solver + Structure + Consensus,50,47,0.94
SIRL-like LP-Stats,Solver only,50,49,0.98
SIRL-like LP-Stats,Solver-Filter,50,49,0.98
SIRL-like LP-Stats,Structure + Consensus,50,47,0.94
SIRL-like LP-Stats,Structure only,50,49,0.98
SIRL-like LP-Stats,Structure-Grounded Consistency,50,47,0.94
SIRL-like LP-Stats,Structure-Only,50,49,0.98
Solver + Consensus,Solver + Structure,50,48,0.96
Solver + Consensus,Solver + Structure + Consensus,50,50,1.0
Solver + Consensus,Solver only,50,48,0.96
Solver + Consensus,Solver-Filter,50,48,0.96
Solver + Consensus,Structure + Consensus,50,50,1.0
Solver + Consensus,Structure only,50,48,0.96
Solver + Consensus,Structure-Grounded Consistency,50,50,1.0
Solver + Consensus,Structure-Only,50,48,0.96
Solver + Structure,Solver + Structure + Consensus,50,48,0.96
Solver + Structure,Solver only,50,50,1.0
Solver + Structure,Solver-Filter,50,50,1.0
Solver + Structure,Structure + Consensus,50,48,0.96
Solver + Structure,Structure only,50,50,1.0
Solver + Structure,Structure-Grounded Consistency,50,48,0.96
Solver + Structure,Structure-Only,50,50,1.0
Solver + Structure + Consensus,Solver only,50,48,0.96
Solver + Structure + Consensus,Solver-Filter,50,48,0.96
Solver + Structure + Consensus,Structure + Consensus,50,50,1.0
Solver + Structure + Consensus,Structure only,50,48,0.96
Solver + Structure + Consensus,Structure-Grounded Consistency,50,50,1.0
Solver + Structure + Consensus,Structure-Only,50,48,0.96
Solver only,Solver-Filter,50,50,1.0
Solver only,Structure + Consensus,50,48,0.96
Solver only,Structure only,50,50,1.0
Solver only,Structure-Grounded Consistency,50,48,0.96
Solver only,Structure-Only,50,50,1.0
Solver-Filter,Structure + Consensus,50,48,0.96
Solver-Filter,Structure only,50,50,1.0
Solver-Filter,Structure-Grounded Consistency,50,48,0.96
Solver-Filter,Structure-Only,50,50,1.0
Structure + Consensus,Structure only,50,48,0.96
Structure + Consensus,Structure-Grounded Consistency,50,50,1.0
Structure + Consensus,Structure-Only,50,48,0.96
Structure only,Structure-Grounded Consistency,50,48,0.96
Structure only,Structure-Only,50,50,1.0
Structure-Grounded Consistency,Structure-Only,50,48,0.96
